[2026-02-25 21:35:33] ID: 241 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 876 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3382 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3435 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3410 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3442 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3344 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 425 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3178 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3363 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1623 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 706 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1790 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 139 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 84 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 92 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1163 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1225 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 628 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3443 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1817 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 10 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 1407 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 708 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 308 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3479 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3487 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3366 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3483 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3177 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3488 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3372 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 894 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3365 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 743 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:33] ID: 3255 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 416 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3253 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3181 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3246 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1422 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 923 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 615 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3364 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3179 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1887 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3180 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3544 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3369 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 240 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1575 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 34 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1078 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3560 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 623 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1853 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3575 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1080 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3579 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3370 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1585 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 1922 | Sim: Raw | Estado: FALLIDA
[2026-02-25 21:35:34] ID: 3585 | Sim: Raw | Estado: FALLIDA
